X,Y,OffenceNum,CaseDate,CaseType,CaseStatus,LienStatus,ParcelNo,CouncilDistrict,City,STATE,Zip,ComplaintRem,OBJECTID,ParcelNo_X,ParcelNo_Y,Address1,Year,Month,GlobalID,created_user,created_date,last_edited_user,last_edited_date
516177.874200422,667566.920184009,C00152570,2023/07/18,NUISANCE,OPEN,NA,10 09 29 3 008 028.000,DISTRICT 7,MONTGOMERY,AL,36111,,193,3.14111111,10.15805556,1389 ADRIAN LN,2023,7,{1349DFB8-2D40-43C5-A065-E12A07BD959C},,,HNAM,2025/03/19 20:12:07+00
505601.478358503,671719.127102673,C00142191,2022/09/29,NUISANCE,CLOSED,NA,11 06 24 3 015 026.000,DISTRICT 4,MONTGOMERY,AL,36105,,194,3.25722222,11.10666667,3257 AGATE ST,2022,9,{36740814-3421-48B7-8F3A-1F2B04DC034C},,,HNAM,2025/03/19 20:12:07+00
541575.838824335,691061.495242007,C00126290,2021/09/30,NUISANCE,CLOSED,Lien Released,09 03 06 2 004 015.000,DISTRICT 2,MONTGOMERY,AL,36117,,195,2.07083333,9.05166667,5700 AINSWORTH DR,2021,9,{69A27FD6-A72E-4733-BB75-626D91DB7741},,,HNAM,2025/03/19 20:12:07+00
496807.553033005,679718.861759342,C00166713,2024/07/01,NUISANCE,CLOSED,NA,11 05 15 1 004 003.000,DISTRICT 4,MONTGOMERY,AL,36108,,196,1.0675,11.0875,324 AIR BASE BLVD,2024,7,{B6EA585B-0D5F-47E1-BA88-6E0CBC4E5B29},,,HNAM,2025/03/19 20:12:07+00
496807.553033005,679718.861759342,C00171203,2024/10/04,NUISANCE,CLOSED,NA,11 05 15 1 004 003.000,DISTRICT 4,MONTGOMERY,AL,36108,,197,1.0675,11.0875,324 AIR BASE BLVD,2024,10,{9B74D228-F497-4421-8807-5D484AC63CBB},,,HNAM,2025/03/19 20:12:07+00
497377.463638589,677869.971756339,C00167136,2024/07/09,NUISANCE,CLOSED,NA,11 05 15 4 005 004.000,DISTRICT 4,MONTGOMERY,AL,36108,,198,4.08444444,11.0875,545 AIR BASE BLVD,2024,7,{1CBA66A0-5A06-414E-A0D7-1B31E7CB5423},,,HNAM,2025/03/19 20:12:07+00
497377.463638589,677869.971756339,C00171942,2024/10/31,NUISANCE,OPEN,NA,11 05 15 4 005 004.000,DISTRICT 4,MONTGOMERY,AL,36108,ENTIRE PARCEL MUST BE CUT ALL THE WAY TO ROAD FRONTAGE,199,4.08444444,11.0875,545 AIR BASE BLVD,2024,10,{8044E794-DFF8-4C3C-8C3D-9E3D0F580992},,,HNAM,2025/03/19 20:12:07+00
496807.553033005,679718.861759342,C00159461,2024/01/18,NUISANCE,CLOSED,NA,11 05 15 1 004 003.000,DISTRICT 4,MONTGOMERY,AL,36108,SPOKE WITH ROBIN ON SITE AND SHE STATED THE DUMPSTER HAD JUST BEEN EMPTIED AND THEY WOULD HAVE IT CLEANED ASAP  GAVE HER VERBAL WARNING,200,1.0675,11.0875,324 AIR BASE BLVD,2024,1,{62677652-FEB7-4B87-9C13-563C0B59C323},,,HNAM,2025/03/19 20:12:07+00
506175.041515838,678622.730421424,C00130738,2022/03/30,NUISANCE,OPEN,Lien Filed,11 06 13 3 013 015.000,DISTRICT 7,MONTGOMERY,AL,36108,,201,3.22083333,11.10361111,909 ADELINE ST,2022,3,{675FCB58-3670-4DB2-B64A-E69F668C12B5},,,HNAM,2025/03/19 20:12:07+00
506175.041515838,678622.730421424,C00125210,2021/09/07,NUISANCE,OPEN,Lien Filed,11 06 13 3 013 015.000,DISTRICT 7,MONTGOMERY,AL,36108,ALL VINES THAT HAVE GROWN ATTACHED TO STRUCTURE MUST BE REMOVED,202,3.22083333,11.10361111,909 ADELINE ST,2021,9,{5F936883-74EE-4DD3-A9FD-7C1E0736B420},,,HNAM,2025/03/19 20:12:07+00
516051.46598867,674243.42061051,C00171886,2024/10/29,NUISANCE,CLOSED,NA,10 04 20 2 023 012.000,DISTRICT 7,MONTGOMERY,AL,36106,,203,2.38666667,10.07222222,2544 AGNEW ST,2024,10,{F82BB285-17A1-4671-9128-09027AB1E670},,,HNAM,2025/03/19 20:12:07+00
498725.383514922,673334.756417342,C00115897,2021/04/08,NUISANCE,CLOSED,NA,11 05 22 4 001 001.000,DISTRICT 4,MONTGOMERY,AL,36108,,204,4.01694444,11.08944444,1225 AIR BASE BLVD,2021,4,{78F1FDBC-B456-48F0-85DB-9118B4539649},,,HNAM,2025/03/19 20:12:07+00
506175.041515838,678622.730421424,C00166832,2024/07/02,NUISANCE,OPEN,Lien Filed,11 06 13 3 013 015.000,DISTRICT 7,MONTGOMERY,AL,36108,,205,3.22083333,11.10361111,909 ADELINE ST,2024,7,{3D51DF0E-E7B1-44B0-A44E-65FFD7E3694C},,,HNAM,2025/03/19 20:12:07+00
506175.041515838,678622.730421424,C00139900,2022/08/18,NUISANCE,OPEN,Lien Filed,11 06 13 3 013 015.000,DISTRICT 7,MONTGOMERY,AL,36108,,206,3.22083333,11.10361111,909 ADELINE ST,2022,8,{463BAFAC-2739-4B0F-AD84-7BB6639BDA6F},,,HNAM,2025/03/19 20:12:07+00
506196.350200254,678505.910117008,C00128622,2022/01/14,NUISANCE,OPEN,Lien Filed,11 06 13 3 013 018.000,DISTRICT 7,MONTGOMERY,AL,36108,"WHITE CHEVY PICK-UP, GREY CHEVY SILVERADO PICK-UP",207,3.22166667,11.10361111,923 ADELINE ST,2022,1,{7349AD2B-5590-4A8A-9331-43D697DA7E43},,,HNAM,2025/03/19 20:12:07+00
506183.180279087,677992.597167261,C00125233,2021/09/08,NUISANCE,OPEN,NA,11 06 13 3 012 010.000,DISTRICT 7,MONTGOMERY,AL,36108,,208,3.20277778,11.10361111,1029 ADELINE ST,2021,9,{EA0D6FA0-D4E7-46EB-BE0A-6416252EDB56},,,HNAM,2025/03/19 20:12:07+00
506183.180279087,677992.597167261,C00115640,2021/04/06,NUISANCE,CLOSED,Lien Released,11 06 13 3 012 010.000,DISTRICT 7,MONTGOMERY,AL,36108,,209,3.20277778,11.10361111,1029 ADELINE ST,2021,4,{CCB27C75-36D7-48E0-B017-5D5CBA087557},,,HNAM,2025/03/19 20:12:07+00
506183.180279087,677992.597167261,C00139903,2022/08/18,REPAIR,CLOSED,NA,11 06 13 3 012 010.000,DISTRICT 7,MONTGOMERY,AL,36108,,210,3.20277778,11.10361111,1029 ADELINE ST,2022,8,{2A25B08A-59B0-483E-B3F5-30FA4DE4FC97},,,HNAM,2025/03/19 20:12:07+00
506183.180279087,677992.597167261,C00137520,2022/07/14,NUISANCE,CLOSED,NA,11 06 13 3 012 010.000,DISTRICT 7,MONTGOMERY,AL,36108,,211,3.20277778,11.10361111,1029 ADELINE ST,2022,7,{A0617384-1D10-47F6-A79D-99C4807E9030},,,HNAM,2025/03/19 20:12:07+00
506183.180279087,677992.597167261,C00139904,2022/08/18,NUISANCE,CLOSED,NA,11 06 13 3 012 010.000,DISTRICT 7,MONTGOMERY,AL,36108,,212,3.20277778,11.10361111,1029 ADELINE ST,2022,8,{F4E1CD8B-FDB0-4410-ADE4-C995476B62E9},,,HNAM,2025/03/19 20:12:07+00
506183.180279087,677992.597167261,C00136506,2022/06/24,NUISANCE,CLOSED,Lien Released,11 06 13 3 012 010.000,DISTRICT 7,MONTGOMERY,AL,36108,,213,3.20277778,11.10361111,1029 ADELINE ST,2022,6,{5219C51B-DE86-43E3-A11F-889C1EA3C2CF},,,HNAM,2025/03/19 20:12:07+00
506183.180279087,677992.597167261,C00133401,2022/05/05,NUISANCE,CLOSED,NA,11 06 13 3 012 010.000,DISTRICT 7,MONTGOMERY,AL,36108,,214,3.20277778,11.10361111,1029 ADELINE ST,2022,5,{D069ABFB-8242-49DF-A271-B1038C300CB4},,,HNAM,2025/03/19 20:12:07+00
506183.180279087,677992.597167261,C00142967,2022/10/25,DEMOLITION,OPEN,NA,11 06 13 3 012 010.000,DISTRICT 7,MONTGOMERY,AL,36108,STRUCTURE  FIRE 10/15/22,215,3.20277778,11.10361111,1029 ADELINE ST,2022,10,{DA57AED3-60EB-441A-BD00-D04365D739A7},,,HNAM,2025/03/19 20:12:07+00
506183.180279087,677992.597167261,C00164566,2024/05/21,NUISANCE,OPEN,NA,11 06 13 3 012 010.000,DISTRICT 7,MONTGOMERY,AL,36108,,216,3.20277778,11.10361111,1029 ADELINE ST,2024,5,{58AFBF12-C40B-493C-B41C-394EDC70D7FA},,,HNAM,2025/03/19 20:12:07+00
506183.180279087,677992.597167261,C00159128,2023/12/19,NUISANCE,CLOSED,NA,11 06 13 3 012 010.000,DISTRICT 7,MONTGOMERY,AL,36108,,217,3.20277778,11.10361111,1029 ADELINE ST,2023,12,{0BF6DD03-C886-4FA1-B156-F58A14748D53},,,HNAM,2025/03/19 20:12:07+00
506183.180279087,677992.597167261,C00160438,2024/03/08,DEMOLITION,CLOSED,NA,11 06 13 3 012 010.000,DISTRICT 7,MONTGOMERY,AL,36108,THIS STRUCTURE HAS BEN BURNED BADLY  IT HAS ALREADY BEEN PROCESSED FOR DEMOLITION,218,3.20277778,11.10361111,1029 ADELINE ST,2024,3,{D2776016-B36C-4ACA-8F36-560583A13C0F},,,HNAM,2025/03/19 20:12:07+00
506183.180279087,677992.597167261,C00160439,2024/03/08,NUISANCE,CLOSED,NA,11 06 13 3 012 010.000,DISTRICT 7,MONTGOMERY,AL,36108,,219,3.20277778,11.10361111,1029 ADELINE ST,2024,3,{881C076B-3CD3-4103-9151-AC167436F5C4},,,HNAM,2025/03/19 20:12:07+00
506183.180279087,677992.597167261,C00160411,2024/03/07,NUISANCE,OPEN,Lien Filed,11 06 13 3 012 010.000,DISTRICT 7,MONTGOMERY,AL,36108,,220,3.20277778,11.10361111,1029 ADELINE ST,2024,3,{6D1300F9-87E7-4EE2-B511-0F09FA6B619E},,,HNAM,2025/03/19 20:12:07+00
523748.735371005,657073.427063428,C00139995,2022/08/19,NUISANCE,CLOSED,NA,15 02 04 4 008 030.000,DISTRICT 6,MONTGOMERY,AL,36116,GOLD SUV AND A GRAY SUV,221,4.14166667,15.03444444,408 ADLER DR,2022,8,{7BDB5B92-AC2C-4686-A0F9-CD2EDD61FEE2},,,HNAM,2025/03/19 20:12:07+00
506183.180279087,677992.597167261,C00151806,2023/07/10,NUISANCE,OPEN,NA,11 06 13 3 012 010.000,DISTRICT 7,MONTGOMERY,AL,36108,,222,3.20277778,11.10361111,1029 ADELINE ST,2023,7,{00EF50E7-904D-4705-82E2-0B3A094C88A7},,,HNAM,2025/03/19 20:12:07+00
523748.735371005,657073.427063428,C00125293,2021/09/08,NUISANCE,CLOSED,NA,15 02 04 4 008 030.000,DISTRICT 6,MONTGOMERY,AL,36116,,223,4.14166667,15.03444444,408 ADLER DR,2021,9,{5A5215CE-F81F-43EF-A054-13A5A7F38415},,,HNAM,2025/03/19 20:12:07+00
515127.653531838,667522.182740673,C00143445,2022/11/23,NUISANCE,CLOSED,NA,10 09 29 3 008 013.000,DISTRICT 7,MONTGOMERY,AL,36111,,224,3.13694444,10.15805556,1305 ADRIAN LN,2022,11,{52B5BE29-E857-44D3-ACBF-A1D467432850},,,HNAM,2025/03/19 20:12:07+00
515250.521068253,667318.54600884,C00117733,2021/04/29,NUISANCE,CLOSED,NA,10 09 29 3 011 017.000,DISTRICT 7,MONTGOMERY,AL,36111,,225,3.18805556,10.15805556,1316 ADRIAN LN,2021,4,{6BAE96AE-1E1A-4FE9-A9F1-DF2513103821},,,HNAM,2025/03/19 20:12:07+00
515345.444762919,667554.054724179,C00138381,2022/07/27,NUISANCE,CLOSED,NA,10 09 29 3 008 016.000,DISTRICT 7,MONTGOMERY,AL,36111,,226,3.13777778,10.15805556,1327 ADRIAN LN,2022,7,{C288AD32-3AD5-43C0-858A-6698CBD2196C},,,HNAM,2025/03/19 20:12:07+00
516177.908321086,667333.492829345,C00120342,2021/06/15,NUISANCE,CLOSED,NA,10 09 29 3 011 003.000,DISTRICT 7,MONTGOMERY,AL,36111,,227,3.18416667,10.15805556,1388 ADRIAN LN,2021,6,{D67B3A0E-3BFB-49DE-A1FD-63E67C4DAC18},,,HNAM,2025/03/19 20:12:07+00
516177.908321086,667333.492829345,C00116780,2021/04/19,NUISANCE,CLOSED,NA,10 09 29 3 011 003.000,DISTRICT 7,MONTGOMERY,AL,36111,,228,3.18416667,10.15805556,1388 ADRIAN LN,2021,4,{18332716-D8FB-41F2-90E3-380FC93B4F9C},,,HNAM,2025/03/19 20:12:07+00
516177.908321086,667333.492829345,C00166131,2024/06/17,NUISANCE,CLOSED,NA,10 09 29 3 011 003.000,DISTRICT 7,MONTGOMERY,AL,36111,,229,3.18416667,10.15805556,1388 ADRIAN LN,2024,6,{5B3688D1-B87B-4AA7-9ECE-3E70EBA7B46F},,,HNAM,2025/03/19 20:12:07+00
516177.908321086,667333.492829345,C00126438,2021/10/04,NUISANCE,CLOSED,NA,10 09 29 3 011 003.000,DISTRICT 7,MONTGOMERY,AL,36111,,230,3.18416667,10.15805556,1388 ADRIAN LN,2021,10,{5D69A930-7743-48D4-8F58-0B30DFBEF586},,,HNAM,2025/03/19 20:12:07+00
515577.981043253,667323.824869677,C00138754,2022/08/01,GENERIC,CLOSED,NA,10 09 29 3 011 011.000,DISTRICT 7,MONTGOMERY,AL,36111,,231,3.18638889,10.15805556,1344 ADRIAN LN,2022,8,{2288DFE6-878B-4859-8AA9-80D213AF4141},,,HNAM,2025/03/19 20:12:07+00
515577.981043253,667323.824869677,C00141578,2022/09/16,NUISANCE,CLOSED,NA,10 09 29 3 011 011.000,DISTRICT 7,MONTGOMERY,AL,36111,DISMANTLED BLUE CAR AND A RED CHEVY CAR,232,3.18638889,10.15805556,1344 ADRIAN LN,2022,9,{CD44151A-23B6-430C-8999-53E99A17CE15},,,HNAM,2025/03/19 20:12:07+00
516902.799587838,667578.652772091,C00116698,2021/04/19,NUISANCE,CLOSED,NA,10 09 29 3 009 018.000,DISTRICT 7,MONTGOMERY,AL,36111,,233,3.155,10.15805556,1431 ADRIAN LN,2021,4,{A1DAF3FA-651C-4EC0-AF2A-1AA013127F83},,,HNAM,2025/03/19 20:12:07+00
516902.799587838,667578.652772091,C00116700,2021/04/19,GENERIC,CLOSED,NA,10 09 29 3 009 018.000,DISTRICT 7,MONTGOMERY,AL,36111,,234,3.155,10.15805556,1431 ADRIAN LN,2021,4,{EFBBFC4A-75D8-436C-A1C2-279F8C917625},,,HNAM,2025/03/19 20:12:07+00
527811.116681922,671799.659421928,C00115874,2021/04/08,REPAIR,CLOSED,NA,10 05 22 3 016 012.000,DISTRICT 5,MONTGOMERY,AL,36106,,235,3.27,10.08944444,2607 AIMEE DR,2021,4,{5255A8B3-B51B-4AE6-A9EE-395DE30AF47E},,,HNAM,2025/03/19 20:12:07+00
505591.70442792,672199.024764925,C00135739,2022/06/13,NUISANCE,CLOSED,NA,11 06 24 3 015 018.000,DISTRICT 4,MONTGOMERY,AL,36105,,236,3.255,11.10666667,3209 AGATE ST,2022,6,{F519B787-3E23-4554-A05B-38B0BBD06CE2},,,HNAM,2025/03/19 20:12:07+00
516902.799587838,667578.652772091,C00150346,2023/06/08,NUISANCE,CLOSED,NA,10 09 29 3 009 018.000,DISTRICT 7,MONTGOMERY,AL,36111,,237,3.155,10.15805556,1431 ADRIAN LN,2023,6,{FA253C68-5503-4795-BCCD-DD7129446892},,,HNAM,2025/03/19 20:12:07+00
505595.370103005,672019.062854506,C00162224,2024/04/09,NUISANCE,OPEN,Lien Filed,11 06 24 3 015 021.000,DISTRICT 4,MONTGOMERY,AL,36105,,238,3.25583333,11.10666667,3227 AGATE ST,2024,4,{513B7C56-1968-404C-9675-E8ACF2983782},,,HNAM,2025/03/19 20:12:07+00
497083.436011419,679090.832503594,C00150180,2023/06/07,NUISANCE,CLOSED,NA,11 05 15 1 017 005.000,DISTRICT 4,MONTGOMERY,AL,36108,,239,1.28472222,11.0875,421 AIR BASE BLVD,2023,6,{627DB824-8FEA-42EA-A145-C69F9FF662C3},,,HNAM,2025/03/19 20:12:07+00
496650.831889752,678310.275993839,C00130763,2022/03/31,OPEN VACANT,CLOSED,NA,11 05 15 4 004 001.000,DISTRICT 4,MONTGOMERY,AL,36108,,240,4.06694444,11.0875,500 AIR BASE BLVD,2022,3,{F09AA378-4341-4566-B7C8-DA7B3D8B811F},,,HNAM,2025/03/19 20:12:07+00
496650.831889752,678310.275993839,C00168247,2024/07/24,NUISANCE,OPEN,Lien Filed,11 05 15 4 004 001.000,DISTRICT 4,MONTGOMERY,AL,36108,,241,4.06694444,11.0875,500 AIR BASE BLVD,2024,7,{118C1C4D-AE4A-4B1C-9959-5E6E152E4E7B},,,HNAM,2025/03/19 20:12:07+00
496793.307326589,679057.191166677,C00126245,2021/09/29,NUISANCE,OPEN,NA,11 05 15 1 004 007.000,DISTRICT 4,MONTGOMERY,AL,36108,,242,1.06861111,11.0875,420 AIR BASE BLVD,2021,9,{2CB44408-91A7-4CA9-B9C0-98A9E912D8CD},,,HNAM,2025/03/19 20:12:07+00
496793.307326589,679057.191166677,C00119365,2021/05/26,NUISANCE,CLOSED,NA,11 05 15 1 004 007.000,DISTRICT 4,MONTGOMERY,AL,36108,,243,1.06861111,11.0875,420 AIR BASE BLVD,2021,5,{56946005-C8FE-497E-ACFD-8FD7F5D3ECAD},,,HNAM,2025/03/19 20:12:07+00
496793.307326589,679057.191166677,C00142756,2022/10/19,NUISANCE,CLOSED,Lien Released,11 05 15 1 004 007.000,DISTRICT 4,MONTGOMERY,AL,36108,,244,1.06861111,11.0875,420 AIR BASE BLVD,2022,10,{B218FEDC-2733-4CA5-BEF5-31204E493619},,,HNAM,2025/03/19 20:12:07+00
496793.307326589,679057.191166677,C00171827,2024/10/25,NUISANCE,CLOSED,NA,11 05 15 1 004 007.000,DISTRICT 4,MONTGOMERY,AL,36108,,245,1.06861111,11.0875,420 AIR BASE BLVD,2024,10,{43F5F55D-3950-4B91-AF62-7312BD0C850F},,,HNAM,2025/03/19 20:12:07+00
496793.307326589,679057.191166677,C00170919,2024/09/25,NUISANCE,OPEN,Lien Filed,11 05 15 1 004 007.000,DISTRICT 4,MONTGOMERY,AL,36108,,246,1.06861111,11.0875,420 AIR BASE BLVD,2024,9,{B73B9E3D-F8F1-44AE-857A-D3F5A3482F6A},,,HNAM,2025/03/19 20:12:07+00
496793.307326589,679057.191166677,C00150523,2023/06/12,NUISANCE,OPEN,NA,11 05 15 1 004 007.000,DISTRICT 4,MONTGOMERY,AL,36108,VEHICLES PARKED ON PROPERTY.,250,1.06861111,11.0875,420 AIR BASE BLVD,2023,6,{6AE6E6C5-23C7-4DEC-A021-24E3B04CF588},,,HNAM,2025/03/19 20:12:07+00
496793.307326589,679057.191166677,C00165267,2024/05/31,NUISANCE,OPEN,NA,11 05 15 1 004 007.000,DISTRICT 4,MONTGOMERY,AL,36108,,251,1.06861111,11.0875,420 AIR BASE BLVD,2024,5,{5B9B6E14-8D7B-4088-BEC5-5DE6DD417EE6},,,HNAM,2025/03/19 20:12:07+00
497142.532021835,676599.434599258,C00159996,2024/02/15,NUISANCE,CLOSED,NA,11 05 15 4 007 006.000,DISTRICT 4,MONTGOMERY,AL,36108,THE LOT IN VIOLATION IS NEXT DOOR TO THIS LOT WHICH IS A MOTEL,252,4.11833333,11.0875,800 AIR BASE BLVD,2024,2,{66B25B88-2137-471D-9C66-EDF38EF629A7},,,HNAM,2025/03/19 20:12:07+00
496008.448988169,678633.961042009,C00144433,2023/02/07,NUISANCE,CLOSED,NA,11 05 15 3 001 001.000,DISTRICT 4,MONTGOMERY,AL,36108,,253,3.01694444,11.0875,430 AIR BASE BLVD,2023,2,{02638791-37C9-46E3-8CB0-818EC06C13B6},,,HNAM,2025/03/19 20:12:07+00
502543.670497753,674800.365362756,C00163188,2024/04/23,NUISANCE,OPEN,Lien Filed,11 06 23 1 020 012.000,DISTRICT 4,MONTGOMERY,AL,36108,,254,1.33666667,11.10638889,2268 AJAX ST,2024,4,{3BE20FB8-90FD-42B8-AF8C-74CE1FBFE31B},,,HNAM,2025/03/19 20:12:07+00
502543.670497753,674800.365362756,C00152450,2023/07/17,NUISANCE,OPEN,NA,11 06 23 1 020 012.000,DISTRICT 4,MONTGOMERY,AL,36108,,255,1.33666667,11.10638889,2268 AJAX ST,2023,7,{18B05583-AFF4-4A25-BE4E-A5ABB06A744F},,,HNAM,2025/03/19 20:12:07+00
502543.670497753,674800.365362756,C00169039,2024/08/05,NUISANCE,OPEN,Lien Filed,11 06 23 1 020 012.000,DISTRICT 4,MONTGOMERY,AL,36108,,256,1.33666667,11.10638889,2268 AJAX ST,2024,8,{50ECBD26-0873-4A20-9C9C-8E0B12D86397},,,HNAM,2025/03/19 20:12:07+00
502543.670497753,674800.365362756,C00145514,2023/03/22,NUISANCE,OPEN,Lien Filed,11 06 23 1 020 012.000,DISTRICT 4,MONTGOMERY,AL,36108,,257,1.33666667,11.10638889,2268 AJAX ST,2023,3,{013ED915-3FD7-44B8-A1F2-551853C93908},,,HNAM,2025/03/19 20:12:07+00
502543.670497753,674800.365362756,C00134141,2022/05/16,NUISANCE,CLOSED,NA,11 06 23 1 020 012.000,DISTRICT 4,MONTGOMERY,AL,36108,,258,1.33666667,11.10638889,2268 AJAX ST,2022,5,{9C006E6E-6735-4168-A075-EAF0983D63A6},,,HNAM,2025/03/19 20:12:07+00
502543.670497753,674800.365362756,C00121932,2021/07/12,NUISANCE,OPEN,Lien Filed,11 06 23 1 020 012.000,DISTRICT 4,MONTGOMERY,AL,36108,,259,1.33666667,11.10638889,2268 AJAX ST,2021,7,{E7F5B604-B7D4-4659-A0DC-ADCEAB1923C6},,,HNAM,2025/03/19 20:12:07+00
502543.670497753,674800.365362756,C00129487,2022/02/24,NUISANCE,OPEN,Lien Filed,11 06 23 1 020 012.000,DISTRICT 4,MONTGOMERY,AL,36108,,260,1.33666667,11.10638889,2268 AJAX ST,2022,2,{7C372D11-0271-402E-BB21-AB03A3F5502D},,,HNAM,2025/03/19 20:12:07+00
489047.813959338,676968.607745424,C00157454,2023/09/29,NUISANCE,CLOSED,NA,11 05 16 3 004 016.000,DISTRICT 4,MONTGOMERY,AL,36108,,261,3.07111111,11.08777778,3205 ALAN LN,2023,9,{970A432C-8548-450F-B267-A1267AB20945},,,HNAM,2025/03/19 20:12:07+00
502414.295428421,674648.855167091,C00155221,2023/08/16,NUISANCE,CLOSED,NA,11 06 23 1 022 001.000,DISTRICT 4,MONTGOMERY,AL,36108,,262,1.36694444,11.10638889,2303 AJAX ST,2023,8,{440CA4C3-7463-4436-87C1-E9F7FEB02094},,,HNAM,2025/03/19 20:12:07+00
489047.813959338,676968.607745424,C00168464,2024/07/26,NUISANCE,CLOSED,NA,11 05 16 3 004 016.000,DISTRICT 4,MONTGOMERY,AL,36108,TRUCK ON JACKS,263,3.07111111,11.08777778,3205 ALAN LN,2024,7,{FB52AC76-B3EE-4D54-B57E-5270DD5A9627},,,HNAM,2025/03/19 20:12:07+00
497050.84454117,677956.649076425,C00169690,2024/08/15,NUISANCE,CLOSED,NA,11 05 15 4 004 002.001,DISTRICT 4,MONTGOMERY,AL,36108,,264,4.0672225,11.0875,530 AIR BASE BLVD,2024,8,{68230786-7843-4EC4-B8F3-1424F43E4963},,,HNAM,2025/03/19 20:12:07+00
532080.414573755,673533.020128429,C00112983,2021/01/07,NUISANCE,CLOSED,NA,10 06 23 3 002 010.000,DISTRICT 5,MONTGOMERY,AL,36106,! RED KIA VAN,265,3.03611111,10.10638889,1840 ALDERPOINT DR,2021,1,{8585D5EA-6B4A-47EC-AD98-8FE35A9272E0},,,HNAM,2025/03/19 20:12:07+00
520703.805437256,701656.951741345,C00116669,2021/04/16,NUISANCE,CLOSED,NA,04 08 28 2 000 001.006,DISTRICT 2,MONTGOMERY,AL,36110,,266,2.00027944,4.14111111,2531 ALABAMA RIVER PKWY,2021,4,{CE879F37-F2EF-4C5B-AAAE-04A4E51B5510},,,HNAM,2025/03/19 20:12:07+00
498037.939351752,673069.265478507,C00170922,2024/09/25,NUISANCE,CLOSED,NA,11 05 22 4 002 006.000,DISTRICT 4,MONTGOMERY,AL,36108,,267,4.035,11.08944444,1250 AIR BASE BLVD,2024,9,{AF06FF37-F876-4FB6-925F-2B3E8B9AAA01},,,HNAM,2025/03/19 20:12:07+00
502498.682070669,674799.877502844,C00129486,2022/02/24,NUISANCE,OPEN,Lien Filed,11 06 23 1 020 011.000,DISTRICT 4,MONTGOMERY,AL,36108,,268,1.33638889,11.10638889,2274 AJAX ST,2022,2,{CC2FC685-CA04-47FD-927D-745C15E51D2F},,,HNAM,2025/03/19 20:12:07+00
498037.939351752,673069.265478507,C00126384,2021/10/01,NUISANCE,CLOSED,NA,11 05 22 4 002 006.000,DISTRICT 4,MONTGOMERY,AL,36108,,269,4.035,11.08944444,1250 AIR BASE BLVD,2021,10,{49A0E98F-B61E-4A75-BAAC-316AE2FA9FDC},,,HNAM,2025/03/19 20:12:07+00
502498.682070669,674799.877502844,C00121931,2021/07/12,NUISANCE,OPEN,Lien Filed,11 06 23 1 020 011.000,DISTRICT 4,MONTGOMERY,AL,36108,,270,1.33638889,11.10638889,2274 AJAX ST,2021,7,{6A88E6F1-5CCF-4644-9E6E-034135CA9486},,,HNAM,2025/03/19 20:12:07+00
502498.682070669,674799.877502844,C00134142,2022/05/16,NUISANCE,OPEN,Lien Filed,11 06 23 1 020 011.000,DISTRICT 4,MONTGOMERY,AL,36108,,271,1.33638889,11.10638889,2274 AJAX ST,2022,5,{CCD64D34-B0CE-4BB0-91F4-904EA7CAE712},,,HNAM,2025/03/19 20:12:07+00
502498.682070669,674799.877502844,C00145513,2023/03/22,NUISANCE,OPEN,Lien Filed,11 06 23 1 020 011.000,DISTRICT 4,MONTGOMERY,AL,36108,,272,1.33638889,11.10638889,2274 AJAX ST,2023,3,{09AFEBC3-467B-470E-8B9C-868AED14E70F},,,HNAM,2025/03/19 20:12:07+00
502498.682070669,674799.877502844,C00169038,2024/08/05,NUISANCE,OPEN,Lien Filed,11 06 23 1 020 011.000,DISTRICT 4,MONTGOMERY,AL,36108,,273,1.33638889,11.10638889,2274 AJAX ST,2024,8,{FF49B2CA-B80F-4028-8AC5-6A498CADBE78},,,HNAM,2025/03/19 20:12:07+00
502498.682070669,674799.877502844,C00152449,2023/07/17,NUISANCE,OPEN,NA,11 06 23 1 020 011.000,DISTRICT 4,MONTGOMERY,AL,36108,,274,1.33638889,11.10638889,2274 AJAX ST,2023,7,{FE1DA1C0-7164-4EC7-831F-5C36BE807512},,,HNAM,2025/03/19 20:12:07+00
502498.682070669,674799.877502844,C00163182,2024/04/23,NUISANCE,OPEN,Lien Filed,11 06 23 1 020 011.000,DISTRICT 4,MONTGOMERY,AL,36108,,275,1.33638889,11.10638889,2274 AJAX ST,2024,4,{4A411835-B408-4921-974C-F4AC947767C1},,,HNAM,2025/03/19 20:12:07+00
502363.723351087,674793.654418178,C00168561,2024/07/30,NUISANCE,OPEN,Lien Filed,11 06 23 1 021 013.000,DISTRICT 4,MONTGOMERY,AL,36108,,276,1.35361111,11.10638889,2308 AJAX ST,2024,7,{7670BAC6-A9C3-4946-B5B3-E76273A22EA4},,,HNAM,2025/03/19 20:12:07+00
502363.723351087,674793.654418178,C00155219,2023/08/16,NUISANCE,OPEN,Lien Filed,11 06 23 1 021 013.000,DISTRICT 4,MONTGOMERY,AL,36108,,277,1.35361111,11.10638889,2308 AJAX ST,2023,8,{C10E4E9E-6615-4BA7-B0D2-70A73331A10E},,,HNAM,2025/03/19 20:12:07+00
