OBJECTID,OffenseNo,Location,Remark,ParcelNo,Type,Date,District,GlobalID,created_user,created_date,last_edited_user,last_edited_date,HearingDate
1165,C00175720,1579 HALE ST,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",10 03 06 1 011 001.004,NUISANCE,1744675200000,3,{BCB54389-44A3-4FA7-9A3D-F1EA8FC9DDF2},,,HNAM,1769178803000,2025/04/15
1166,C00175723,1558 HALE ST,"Litter, Junk, Trash, Overgrown Grass, Weeds",10 03 06 1 006 003.000,NUISANCE,1744675200000,3,{7DE2E7BA-CF39-4306-A71C-7CD861B26EE7},,,HNAM,1769178803000,2025/04/15
1167,C00175724,1519 WITHERS ST,"Litter, Junk, Trash, Overgrown Grass, Weeds",10 03 06 4 011 008.000,NUISANCE,1744675200000,3,{14AC68C2-290A-4104-A159-0503E695CC61},,,HNAM,1769178803000,2025/04/15
1168,C00175726,228 GARDENDALE DR,"Litter, Junk, Trash, Overgrown Grass, Weeds",04 09 32 1 010 005.000,NUISANCE,1744675200000,3,{765B4A44-B1F0-4CF2-8D1E-2513C31F9009},,,HNAM,1769178803000,2025/04/15
1169,C00175727,4026 SHELLY LN,"Litter, Junk, Trash, Overgrown Grass, Weeds",04 09 32 1 004 003.000,NUISANCE,1744675200000,3,{B188F81C-A2A1-457B-B346-5A3FADF91612},,,HNAM,1769178803000,2025/04/15
1170,C00175730,1806 MIDWAY ST,"Litter, Junk, Trash, Overgrown Grass, Weeds",10 03 05 2 001 001.000,NUISANCE,1744675200000,3,{5634924A-0239-487D-8C36-02F37A8187F7},,,HNAM,1769178803000,2025/04/15
1171,C00175731,3059 BARKSDALE ST,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",04 09 32 3 016 008.000,NUISANCE,1744675200000,3,{DF670E90-7F35-464A-BD19-DF9F67334E50},,,HNAM,1769178803000,2025/04/15
1172,C00175732,1725 GIBSON ST,"Junk Vehicles, Litter, Junk, Trash, Overgrown Grass, Weeds",04 09 32 3 012 015.000,NUISANCE,1744675200000,3,{F057DBF2-DD33-4FFD-808D-A1FD915E7E8F},,,HNAM,1769178803000,2025/04/15
1173,C00175733,117 EAST WOODLAND DR,"Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Weeds",10 09 31 2 001 022.000,NUISANCE,1744675200000,7,{3796B10B-20E6-4CD8-8965-23EC45E37EBE},,,HNAM,1769178803000,2025/04/15
1174,C00175734,113 EAST WOODLAND DR,"Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Weeds",10 09 31 2 001 024.000,NUISANCE,1744675200000,7,{97B19DD2-62E6-4C0A-B853-39C6CE3A90AD},,,HNAM,1769178803000,2025/04/15
1175,C00175735,3303 RIDGEFIELD DR,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",10 05 21 4 008 005.000,NUISANCE,1744675200000,5,{BA322D16-96D4-47AE-82D0-518B64775E2D},,,HNAM,1769178803000,2025/04/15
1176,C00175736,3671 WINDEMERE DR,"Debris, Litter, Junk, Trash, Unattended Donation/Collection Box",10 02 10 3 001 019.000,NUISANCE,1744675200000,1,{D37D249A-A2FA-4ECC-BB0E-7BBD3C678CFB},,,HNAM,1769178803000,2025/04/15
1177,C00175741,2760 GARDEN BROOK CT,"Litter, Junk, Trash, Overgrown Grass, Weeds",10 08 34 3 018 039.000,NUISANCE,1744675200000,6,{3719C094-2E1E-4298-ABEE-EDC6229E7B0D},,,HNAM,1769178803000,2025/04/15
1178,C00175746,5057 VIRGINIA LOOP RD,"Debris, Litter, Junk, Trash, Unattended Donation/Collection Box",15 01 11 2 001 041.002,NUISANCE,1744675200000,6,{4FE25AF0-FD26-4C9B-BADA-1E39DE9A9FCE},,,HNAM,1769178803000,2025/04/15
1179,C00175743,3302 SOUTH PERRY ST,"Overgrown Grass, Weeds",10 04 19 3 007 001.000,NUISANCE,1744675200000,7,{C4FE7993-D2BF-4E48-80A5-D85C72CE1F5E},,,HNAM,1769178803000,2025/04/15
1180,C00175748,4678 CONTI LN,"Junk Vehicles, Litter, Junk, Trash, Overgrown Grass, Weeds",15 01 02 2 003 020.000,NUISANCE,1744675200000,6,{107E509A-06C5-4066-8E36-959B31342198},,,HNAM,1769178803000,2025/04/15
1181,C00175750,1459 SOUTH HOLT ST,"Litter, Junk, Trash, Overgrown Grass, Weeds",11 06 24 2 019 009.000,NUISANCE,1744675200000,7,{04C578F1-7BA8-40E9-819F-16FE9F299693},,,HNAM,1769178803000,2025/04/15
1182,C00175753,2767 CLARA ST,"Litter, Junk, Trash, Overgrown Grass",10 03 05 1 005 030.000,NUISANCE,1744675200000,3,{D4FA86D1-D538-4D9F-ADCA-E0FB500C95BF},,,HNAM,1769178803000,2025/04/15
1183,C00175763,2231 SAGEWOOD DR,"Litter, Junk, Trash, Overgrown Grass, Weeds",09 04 19 3 001 001.047,NUISANCE,1744675200000,9,{D00EFCDA-D603-4BAD-BC5C-F234E6FAF1C9},,,HNAM,1769178803000,2025/04/15
1184,C00175764,222 WEST DELANO AVE,"Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Weeds",11 07 25 1 014 033.000,NUISANCE,1744675200000,4,{FAFE2735-1617-40E1-A1AD-0C1EBE02C1FA},,,HNAM,1769178803000,2025/04/15
1185,C00175765,3664 AUDUBON RD,"Debris, Litter, Junk, Trash, Unattended Donation/Collection Box",10 09 29 3 004 008.000,NUISANCE,1744675200000,7,{286B6187-50CA-45F9-AE74-E7E6E52A15A3},,,HNAM,1769178803000,2025/04/15
1186,C00175771,4534 WARES FERRY RD,"Debris, Junk Vehicles, Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Weeds",10 01 11 1 001 001.000,NUISANCE,1744675200000,1,{6F982FC4-F954-4C70-8ED8-5A94C33DBC5A},,,HNAM,1769178803000,2025/04/15
1187,C00175775,6116 WARES FERRY RD,"Debris, Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Weeds",09 03 06 4 015 004.000,NUISANCE,1744675200000,2,{4B6250A2-CF80-4003-BD77-D9C3B38AE5C4},,,HNAM,1769178803000,2025/04/15
1188,C00175778,23 DAVIS DR,"Demolition, Foundation, Walls, Roof",10 09 31 2 002 025.000,EMERGENCY DEMOLITION,1744675200000,7,{75E95978-4B0C-483D-ABBA-D61A01436D18},,,HNAM,1769178803000,2025/04/15
1189,C00175784,224 SOUTHLAWN DR,"Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Weeds",14 02 03 4 004 014.000,NUISANCE,1744675200000,4,{9BE7DAB4-7FFD-47FF-851B-F357BD7F80B4},,,HNAM,1769178803000,2025/04/15
1190,C00175789,1841 YOUNG FARM RD,"Litter, Junk, Trash, Overgrown Grass, Weeds",10 06 23 4 005 019.000,NUISANCE,1744675200000,5,{7DA1D41E-2FF9-4E96-A380-F636DB8D42BD},,,HNAM,1769178803000,2025/04/15
1191,C00175787,717 STEPHENS ST,"Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Weeds",11 06 24 2 025 004.000,NUISANCE,1744675200000,7,{CA7F3CB3-3A8F-43FC-BB63-B025B0D80596},,,HNAM,1769178803000,2025/04/15
1192,C00175791,827 TERRACE AVE,"Litter, Junk, Trash, Overgrown Grass, Weeds",10 04 18 4 027 019.000,NUISANCE,1744675200000,7,{EB36590A-A597-455B-8C4D-8DC7ED0C1A10},,,HNAM,1769178803000,2025/04/15
1193,C00175793,3743 OAK ST,"Litter, Junk, Trash, Overgrown Grass, Weeds",11 07 25 2 015 009.000,NUISANCE,1744675200000,4,{BA2FF937-ADCC-4328-BE67-F3163431736C},,,HNAM,1769178803000,2025/04/15
1194,C00175795,1336 ADRIAN LN,"Litter, Junk, Trash, Overgrown Grass, Weeds",10 09 29 3 011 013.000,NUISANCE,1744675200000,7,{9FC456E8-595C-4F16-B90A-6F348D2C2813},,,HNAM,1769178803000,2025/04/15
1195,C00175801,815 RIDGEMONT AVE,"Junk Vehicles, Overgrown Grass",11 06 24 3 007 002.000,NUISANCE,1744675200000,4,{ECF89617-4C4F-41CF-AF51-E21AB8974561},,,HNAM,1769178803000,2025/04/15
1196,C00175802,3238 DORIS CIR,"Litter, Junk, Trash, Overgrown Grass, Weeds",11 06 24 3 006 008.000,NUISANCE,1744675200000,4,{C6162804-E38D-46D7-9592-FB953E968D04},,,HNAM,1769178803000,2025/04/15
1197,C00175805,2446 SANDY ST,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",11 06 23 2 002 011.000,NUISANCE,1744675200000,4,{EC42A732-4997-40B9-8C6F-B4A1D5562706},,,HNAM,1769178803000,2025/04/15
1198,C00175797,3202 CLOVERDALE RD,"Litter, Junk, Trash, Overgrown Grass, Weeds",10 04 19 4 013 001.000,NUISANCE,1744675200000,7,{FD8BAE2F-C856-4472-ADED-C69C157FE39F},,,HNAM,1769178803000,2025/04/15
1199,C00175807,3012 CABOT ST,Overgrown Grass,04 09 32 4 014 012.000,NUISANCE,1744675200000,3,{EF674FE0-3EC2-4994-9989-493442FF393E},,,HNAM,1769178803000,2025/04/15
1200,C00175808,8912 ASHEVILLE DR,"Litter, Junk, Trash, Overgrown Grass, Weeds",09 08 34 0 006 022.000,NUISANCE,1744675200000,8,{E55448DF-D447-432F-8937-656E59F689EE},,,HNAM,1769178803000,2025/04/15
1201,C00175817,1315 S HOLT ST,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",11 06 13 3 009 048.001,NUISANCE,1744675200000,7,{584595DB-C81F-44C4-A2E7-97B87273E8E4},,,HNAM,1769178803000,2025/04/15
1202,C00175819,1317 SOUTH HOLT ST,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",11 06 13 3 009 048.000,NUISANCE,1744675200000,7,{53D66F23-C028-4734-9AE2-DDE84DD7664E},,,HNAM,1769178803000,2025/04/15
1203,C00175823,744 WOODROW ST,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",11 06 24 2 019 014.000,NUISANCE,1744675200000,7,{EBC82B8F-8CBC-4607-9260-0E59E10454EA},,,HNAM,1769178803000,2025/04/15
1204,C00175820,1400 SOUTH HOLT ST,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",11 06 24 2 003 001.000,NUISANCE,1744675200000,7,{797BA6EB-D0AE-476A-A431-EDB22E452AE4},,,HNAM,1769178803000,2025/04/15
1205,C00175826,726 WOODROW ST,"Debris, Junk Vehicles, Litter, Junk, Trash, Overgrown Grass, Weeds",11 06 24 2 019 015.003,NUISANCE,1744675200000,7,{43A3D395-521A-4374-9042-1FE66F3E2B09},,,HNAM,1769178803000,2025/04/15
1206,C00175828,732 CLARKE ST,"Demolition, Other",11 06 24 2 027 020.000,EMERGENCY DEMOLITION,1744675200000,7,{C07F4D26-43E7-4DFA-AEFE-71FDE5F79693},,,HNAM,1769178803000,2025/04/15
1207,C00175829,3452 GILMER AVE,"Litter, Junk, Trash, Overgrown Grass, Weeds",10 09 30 2 004 022.000,NUISANCE,1744675200000,7,{D8409B8A-9E6A-4A58-AE18-1929A933EFCC},,,HNAM,1769178803000,2025/04/15
1208,C00175831,463 JAPONICA ST,"Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Tree Violation, Weeds",11 07 25 4 009 014.000,NUISANCE,1744675200000,4,{751C19BC-155F-4223-B7A4-0C9538E20287},,,HNAM,1769178803000,2025/04/15
1209,C00175832,469 JAPONICA ST,"Bldg. Material, Debris, Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Weeds",11 07 25 4 009 015.000,NUISANCE,1744675200000,4,{B98BCFF1-7791-49D8-AB7B-85C0936A4127},,,HNAM,1769178803000,2025/04/15
1210,C00175833,475 JAPONICA ST,"Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Weeds",11 07 25 4 009 016.000,NUISANCE,1744675200000,4,{A173056A-A7E7-4F2E-937B-E5FD2B248B2E},,,HNAM,1769178803000,2025/04/15
1211,C00175834,472 JAPONICA ST,"Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Weeds",11 07 25 4 008 015.000,NUISANCE,1744675200000,4,{B809E5BA-888C-4A7C-8FC8-7B54FCE4B22A},,,HNAM,1769178803000,2025/04/15
1212,C00175835,478 JAPONICA ST,"Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Weeds",11 07 25 4 008 014.000,NUISANCE,1744675200000,4,{141C8FE0-41AD-4FE8-9C90-DC96A728DAB9},,,HNAM,1769178803000,2025/04/15
1213,C00175836,459 JAPONICA ST,"Junk Vehicles, Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Tree Violation, Weeds",11 07 25 4 009 013.000,NUISANCE,1744675200000,4,{8843CE2D-E38A-4865-84C5-4DDF065EBB11},,,HNAM,1769178803000,2025/04/15
1214,C00175837,454 JAPONICA ST,"Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Weeds",11 07 25 4 008 018.000,NUISANCE,1744675200000,4,{8FA26C6C-A0B7-42C4-BE28-A295A833953C},,,HNAM,1769178803000,2025/04/15
1215,C00175838,443 JAPONICA ST,"Auto Parts, Junk Vehicles, Litter, Junk, Trash, Overgrown Grass, Weeds",11 07 25 4 009 010.000,NUISANCE,1744675200000,4,{4D86D772-18B9-494F-A4D5-EE196A7E97E8},,,HNAM,1769178803000,2025/04/15
1216,C00175839,433 JAPONICA ST,"Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Weeds",11 07 25 4 009 008.000,NUISANCE,1744675200000,4,{AE5EDB07-5220-424A-B85D-9AE286EA82F8},,,HNAM,1769178803000,2025/04/15
1217,C00175840,440 JAPONICA ST,"Litter, Junk, Trash, Overgrown Grass, Tires, Tree Limbs, Weeds",11 07 25 4 008 019.000,NUISANCE,1744675200000,4,{782CC917-A299-40A6-AFEF-0C8F892296F7},,,HNAM,1769178803000,2025/04/15
1218,C00175842,423 JAPONICA ST,"Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Weeds",11 07 25 4 009 006.000,NUISANCE,1744675200000,4,{743164A5-207B-4226-8A30-5C46044F6315},,,HNAM,1769178803000,2025/04/15
1219,C00175843,416 JAPONICA ST,"Junk Vehicles, Litter, Junk, Trash, Overgrown Grass, Weeds",11 07 25 4 008 022.000,NUISANCE,1744675200000,4,{3BF9518A-8FA0-4A5E-BED9-9CC1DE4BA94E},,,HNAM,1769178803000,2025/04/15
1220,C00175845,2442 SANDY ST,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",11 06 23 2 002 010.000,NUISANCE,1744675200000,4,{C82A77AD-B59E-4EDE-9D05-0DAA8CCEDC52},,,HNAM,1769178803000,2025/04/15
1221,C00175846,2434 SANDY ST,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",11 06 23 2 002 009.000,NUISANCE,1744675200000,4,{8CDE5E12-B8CF-4B37-A6CC-2C9E7AE53D4E},,,HNAM,1769178803000,2025/04/15
1222,C00175847,2430 SANDY ST,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",11 06 23 2 002 008.000,NUISANCE,1744675200000,4,{57AA1815-1307-4AC0-AB5F-46A0DB2CA407},,,HNAM,1769178803000,2025/04/15
1223,C00175848,104 COLISEUM BLVD,Abandoned/Obsolete Sign,10 02 10 2 003 006.002,SIGN,1744675200000,2,{620AADBC-5032-48CA-9B1A-1D90FDC2B2C4},,,HNAM,1769178803000,2025/04/15
1224,C00175849,2437 SANDY ST,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",11 06 23 2 002 028.000,NUISANCE,1744675200000,4,{BBF22FDA-E1D0-4CF8-8380-5F9959837C7E},,,HNAM,1769178803000,2025/04/15
1225,C00175855,520 SOUTH BAINBRIDGE ST,"Litter, Junk, Trash, Overgrown Grass, Weeds",10 04 18 2 004 004.000,NUISANCE,1744675200000,3,{FD2181E5-F6E2-4054-9BAD-B4582FFB49EF},,,HNAM,1769178803000,2025/04/15
1226,C00175856,527 SOUTH DECATUR ST,"Litter, Junk, Trash, Overgrown Grass, Weeds",10 04 18 2 004 004.002,NUISANCE,1744675200000,3,{7517C4CC-41B6-4091-8D5C-041697903AA5},,,HNAM,1769178803000,2025/04/15
1227,C00175857,HIGH ST,"Litter, Junk, Trash, Overgrown Grass, Weeds",10 04 18 2 002 012.000,NUISANCE,1744675200000,3,{2AB60925-5145-4FB3-A785-EE2875BB021D},,,HNAM,1769178803000,2025/04/15
1228,C00175858,473 SOUTH DECATUR ST,"Litter, Junk, Trash, Overgrown Grass, Weeds",10 04 18 2 002 011.000,NUISANCE,1744675200000,3,{77FA3943-123C-4183-AE3F-C83F46BF7E7A},,,HNAM,1769178803000,2025/04/15
1229,C00175863,463 DERICOTE ST,"Litter, Junk, Trash, Overgrown Grass, Weeds",10 04 18 1 013 015.000,NUISANCE,1744675200000,3,{E2B77F79-5A14-4C4D-BA2D-0E58D30AF281},,,HNAM,1769178803000,2025/04/15
1230,C00175864,526 SOUTH RIPLEY ST,"Litter, Junk, Trash, Overgrown Grass, Weeds",10 04 18 1 011 029.000,NUISANCE,1744675200000,3,{532EBFE3-7DE4-448D-8F85-6CA8C158174F},,,HNAM,1769178803000,2025/04/15
1231,C00175865,6298 NATURE DR,"Debris, Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Weeds",09 03 07 1 004 071.000,NUISANCE,1744675200000,2,{327BBBAF-E96F-4465-8423-6C77049DAA35},,,HNAM,1769178803000,2025/04/15
1232,C00175868,6288 NATURE DR,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",09 03 07 1 004 067.000,NUISANCE,1744675200000,2,{ABB623F2-4656-4B60-8A11-68311DC3B710},,,HNAM,1769178803000,2025/04/15
1233,C00175870,200 NEWCASTLE LN,"Debris, Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Weeds",09 03 07 1 004 075.000,NUISANCE,1744675200000,2,{6439DB70-1013-42FA-9614-BE80C3F0BA9C},,,HNAM,1769178803000,2025/04/15
1234,C00175872,3749 DALRAIDA PKWY,"Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Weeds",10 02 03 4 003 022.000,NUISANCE,1744675200000,2,{420E00B0-AFF0-425E-879B-DBA23B93E2B6},,,HNAM,1769178803000,2025/04/15
1235,C00175875,5300 ATLANTA HWY,Abandoned/Obsolete Sign,10 01 12 3 003 003.000,SIGN,1744675200000,1,{018C6C61-5057-4CC7-8043-244642BA84FF},,,HNAM,1769178803000,2025/04/15
1236,C00175876,4707 ATLANTA HWY,"Debris, Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Weeds",10 01 11 1 011 009.000,NUISANCE,1744675200000,1,{0AE9C5EF-557E-4D1A-A1C3-97A9AA85E032},,,HNAM,1769178803000,2025/04/15
1237,C00175879,1630 FEDERAL DR,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",04 08 33 3 000 010.000,NUISANCE,1744675200000,2,{45843DA9-48E4-463F-B225-176636939171},,,HNAM,1769178803000,2025/04/15
1238,C00175894,5940 CHERRY HILL RD,"Litter, Junk, Trash, Overgrown Grass, Weeds",15 01 02 1 002 011.000,NUISANCE,1744675200000,6,{72AC9ED4-1167-4DC6-8D75-2BC0B3D50012},,,HNAM,1769178803000,2025/04/15
1239,C00175895,5944 CHERRY HILL RD,"Litter, Junk, Trash, Overgrown Grass, Weeds",15 01 02 1 002 010.000,NUISANCE,1744675200000,6,{1E17B408-2172-4999-93E3-E5A1FC87E32A},,,HNAM,1769178803000,2025/04/15
1240,C00175896,6016 OAKLEIGH RD,"Debris, Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Weeds",15 01 02 4 002 022.000,NUISANCE,1744675200000,6,{B3A71A5D-7601-4DDC-AC8B-449E69A29881},,,HNAM,1769178803000,2025/04/15
1241,C00175897,6000 OAKLEIGH RD,"Litter, Junk, Trash, Overgrown Grass, Tree Violation, Weeds",15 01 02 4 002 001.000,NUISANCE,1744675200000,6,{04680F81-F60D-4106-B565-DD1A4171F0C6},,,HNAM,1769178803000,2025/04/15
1242,C00175898,6036 OAKLEIGH RD,"Litter, Junk, Trash, Overgrown Grass, Tree Violation, Weeds",15 01 02 4 002 017.000,NUISANCE,1744675200000,6,{C2C93453-3448-49DE-92ED-70190CB84BE6},,,HNAM,1769178803000,2025/04/15
1243,C00175899,6068 CHERRY HILL RD,"Litter, Junk, Trash, Overgrown Grass, Weeds",15 01 02 4 001 017.000,NUISANCE,1744675200000,6,{A77A21E3-D3F5-487D-B24B-72E3DE295D97},,,HNAM,1769178803000,2025/04/15
1244,C00175900,6104 OAKLEIGH RD,"Litter, Junk, Trash, Overgrown Grass, Weeds",15 01 02 4 001 016.019,NUISANCE,1744675200000,6,{84BE8FC6-40FB-484F-807C-E977024D6961},,,HNAM,1769178803000,2025/04/15
1245,C00175901,6008 CHERRY HILL RD,"Litter, Junk, Trash, Overgrown Grass, Weeds",15 01 02 4 001 032.000,NUISANCE,1744675200000,6,{CCE63A14-7589-42DD-95D3-74AB0BD10E4D},,,HNAM,1769178803000,2025/04/15
1246,C00175904,CHERRY HILL RD,"Litter, Junk, Trash, Overgrown Grass, Weeds",15 01 02 1 004 034.007,NUISANCE,1744675200000,6,{ACED3B3A-6938-466B-A6F0-981A487884D7},,,HNAM,1769178803000,2025/04/15
1247,C00175903,5960 CHERRY HILL RD,"Litter, Junk, Trash, Overgrown Grass, Weeds",15 01 02 1 002 006.000,NUISANCE,1744675200000,6,{D60266B1-5F67-47A4-A32F-9906B0B4B398},,,HNAM,1769178803000,2025/04/15
1248,C00175902,6009 CHERRY HILL RD,"Litter, Junk, Trash, Overgrown Grass, Weeds",15 01 02 4 002 004.000,NUISANCE,1744675200000,6,{00141D4F-6682-4ADF-8533-FC47754B1666},,,HNAM,1769178803000,2025/04/15
1249,C00175905,2117 HIGHLAND AVE,"Litter, Junk, Trash, Overgrown Grass, Weeds",10 04 17 1 010 008.000,NUISANCE,1744675200000,3,{56B9F25D-3A23-4924-AED3-1B502F0BFDB5},,,HNAM,1769178803000,2025/04/15
1250,C00175906,2107 HIGHLAND AVE,"Litter, Junk, Trash, Overgrown Grass, Weeds",10 04 17 1 010 007.000,NUISANCE,1744675200000,3,{21EC523D-9FC5-4B77-9674-B66AF491E13D},,,HNAM,1769178803000,2025/04/15
1251,C00175907,951 HIGHLAND AVE,"Litter, Junk, Trash, Overgrown Grass, Weeds",10 04 18 1 004 011.000,NUISANCE,1744675200000,3,{15D241FA-43F2-4381-B28C-8A3B58E1BEA8},,,HNAM,1769178803000,2025/04/15
1252,C00175908,955 HIGHLAND AVE,"Litter, Junk, Trash, Overgrown Grass, Weeds",10 04 18 1 004 012.000,NUISANCE,1744675200000,3,{53DABD00-BC07-44B0-B5BD-7B4AC83788FE},,,HNAM,1769178803000,2025/04/15
1253,C00175909,4700 PARK TOWNE WAY,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",10 07 35 3 001 001.000,NUISANCE,1744675200000,6,{C8DCBE1F-F5BC-4BE1-9BC2-78DED2381C87},,,HNAM,1769178803000,2025/04/15
1254,C00175911,669 SOUTH LAWRENCE ST,"Litter, Junk, Trash, Overgrown Grass, Weeds",10 04 18 2 020 008.000,NUISANCE,1744675200000,3,{C935B2B1-C941-448F-A377-66ECA61A618A},,,HNAM,1769178803000,2025/04/15
1255,C00175910,4770 PARK TOWNE WAY,"Litter, Junk, Trash, Overgrown Grass, Weeds",10 07 35 4 000 004.000,NUISANCE,1744675200000,6,{18475900-A3AF-467A-91D4-19AB17147435},,,HNAM,1769178803000,2025/04/15
1256,C00175952,6013 MONTICELLO DR,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",09 04 18 3 001 014.000,NUISANCE,1744675200000,9,{CAA31405-2E1D-43FE-AE48-1D862EFDB325},,,HNAM,1769178803000,2025/04/15
1257,C00175957,2923 PELZER AVE,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",10 02 04 4 012 013.000,NUISANCE,1744675200000,2,{D26A52D6-1E5C-48EB-B4A3-0DD7FAE88F0E},,,HNAM,1769178803000,2025/04/15
1258,C00176334,2031 LOCUST ST,"Demolition, Roof, Structure Not Secure, Other, Emergency Demolition",10 04 17 1 034 011.000,EMERGENCY DEMOLITION,1744675200000,3,{98B68EF8-7F31-4A9D-906F-165313AA7905},,,HNAM,1769178803000,2025/04/15
1259,C00176335,3634 OAK ST,"Demolition, Foundation, Roof, Emergency Demolition",11 07 26 1 001 022.000,EMERGENCY DEMOLITION,1744675200000,4,{047C6E8B-CBCC-4225-AB1E-770D78E5E470},,,HNAM,1769178803000,2025/04/15
1260,C00176336,3642 OAK ST,"Demolition, Walls, Roof, Bldg Not Complete, Structure Not Secure, Other, Emergency Demolition",11 07 26 1 001 023.000,EMERGENCY DEMOLITION,1744675200000,4,{46DAE2BE-B99F-4AE4-8E28-B91EE87FA835},,,HNAM,1769178803000,2025/04/15
3446,C00177249,2565 DRAKE ST,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",11 07 26 2 009 003.000,NUISANCE,1747699200000,4,{A0F23AE6-C498-4418-85C4-35791D245662},HNAM,1748355780000,HNAM,1769178803000,2025/05/20
3447,C00177307,4108 PIEDMONT DR,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",14 03 05 2 001 015.000,NUISANCE,1747699200000,4,{E431743E-E5DC-4C8A-A094-CF9E5ED91674},HNAM,1748355780000,HNAM,1769178803000,2025/05/20
3448,C00177309,1504 SIERRA ST,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",11 06 24 2 007 001.000,NUISANCE,1747699200000,4,{F48808F5-DCF3-4B18-8FD2-5988526237CD},HNAM,1748355780000,HNAM,1769178803000,2025/05/20
3449,C00177349,132 LONGVIEW CT,"Appliances, Bldg. Material, Debris, Furniture, Litter, Junk, Trash, Overgrown Grass, Tires, Tree Limbs, Weeds",11 05 16 4 009 019.000,NUISANCE,1747699200000,4,{FE1CDAF4-9F41-45E4-93C8-1EBD0EB1592A},HNAM,1748355780000,HNAM,1769178803000,2025/05/20
3450,C00177379,3144 BOZEMAN DR,"Debris, Junk Vehicles, Litter, Junk, Trash",11 05 22 4 004 043.000,NUISANCE,1747699200000,4,{FDE4F198-3EF3-4FDC-A0B1-B20573C6ADD4},HNAM,1748355780000,HNAM,1769178803000,2025/05/20
3451,C00177395,311 LINDA LN,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",14 02 03 4 005 017.000,NUISANCE,1747699200000,4,{D9CF62C7-BF83-4CBE-8230-9A4FD4402403},HNAM,1748355780000,HNAM,1769178803000,2025/05/20
3452,C00177428,5101 KIM LN,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",14 02 03 4 004 037.000,NUISANCE,1747699200000,4,{F7E4429E-ACB5-4154-A516-5E268C212C7F},HNAM,1748355780000,HNAM,1769178803000,2025/05/20
3453,C00177431,703 MILL ST,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",11 06 13 3 022 001.000,NUISANCE,1747699200000,7,{56BB9080-76B0-4C3E-99A7-0C1C5C89B021},HNAM,1748355780000,HNAM,1769178803000,2025/05/20
3454,C00177504,629 EARLY ST,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",11 06 24 2 001 002.000,NUISANCE,1747699200000,7,{5E6553E1-75BE-44E6-B237-942BBD1459C2},HNAM,1748355780000,HNAM,1769178803000,2025/05/20
3455,C00177544,3406 CAFFEY DR,"Auto Parts, Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",11 07 26 2 002 001.000,NUISANCE,1747699200000,4,{1F13EF9C-4B01-4D6E-847D-4F800D7FE384},HNAM,1748355780000,HNAM,1769178803000,2025/05/20
