X,Y,OBJECTID,Join_Count,TARGET_FID,Offense_No,Item_No,Type,Address,Parcel_No,Remarks,Source_Date,Id
509653.014218047,670678.130498059,94,1,94,C00172872,29,NUISANCE,3615 SOUTH COURT ST,10 09 30 2 006 007.000,"* BLDG. MATERIAL, LITTER, JUNK, TRASH* BUILDING MATERIAL AND WOOD ON PARCEL MUST BE REMOVED",2025/01/21 00:00:00+00,7
526990.876851968,665063.937002055,95,1,95,C00172712,30,NUISANCE,2801 EAST SOUTH BLVD,10 08 34 2 002 029.000,"* JUNK VEHICLES, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* CUT ALL THE WAY UP TO THE BLVD; BLACK MUSTANG; WHITE NISSAN",2025/01/07 00:00:00+00,5
523553.531036381,661487.021255635,96,1,96,C00172737,28,NUISANCE,3312 WOODLEY RD,10 08 33 4 013 001.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/01/21 00:00:00+00,6
503459.158823635,675678.443003982,97,1,97,C00173238,27,NUISANCE,2121 STELLA ST,11 06 23 1 015 003.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/02/04 00:00:00+00,4
503499.978295803,675876.102057472,98,1,98,C00173237,26,NUISANCE,2116 STELLA ST,11 06 23 1 012 021.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/04 00:00:00+00,4
504376.331858043,679266.667782888,99,1,99,C00172567,25,NUISANCE,857 OAK ST,11 06 13 2 024 008.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/02/04 00:00:00+00,4
506748.672257718,679311.117825232,100,1,100,C00173057,24,NUISANCE,778 ROSA L PARKS AVE,11 06 13 2 022 023.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/02/04 00:00:00+00,7
506749.522649717,679278.628716983,101,1,101,C00173056,23,NUISANCE,782 ROSA L PARKS AVE,11 06 13 2 022 022.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/04 00:00:00+00,7
526952.508162294,667041.488493145,102,1,102,C00172733,27,NUISANCE,3809 FIELDCREST DR,10 08 27 3 008 032.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/01/21 00:00:00+00,5
540593.546825051,674651.857130647,103,1,103,C00172786,26,NUISANCE,1607 SANDSTONE CT,10 06 24 1 002 041.003,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* THERE IS JUNK AND TRASH IN THE BACK YARD THAT NEED TO BE TAKEN CARE OF ASAP",2025/01/21 00:00:00+00,9
505758.995759387,680272.756978057,104,1,104,C00173012,22,NUISANCE,613 S HOLT ST,11 06 13 2 020 011.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TIRES, WEEDS* CLEAR OUT AREA BESIDE BUILDING OF SCATTERED DEBRIS",2025/02/04 00:00:00+00,7
517643.276780803,680801.154871397,105,1,105,C00172810,22,NUISANCE,1922 PLUM ST,10 04 17 1 022 001.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, TREE VIOLATION, WEEDS* ALL AT THE REAR OF THE HOUSE BEHIND PRIVACY FENCE.",2025/01/21 00:00:00+00,3
518335.747508723,682660.8499709,106,1,106,C00172789,21,NUISANCE,350 POLK ST,10 03 08 4 028 013.000,"* BLDG. MATERIAL, DEBRIS, FURNITURE, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/01/21 00:00:00+00,3
506949.950398467,679874.646881886,107,1,107,C00173058,21,NUISANCE,707 ROSA L PARKS AVE,11 06 13 1 006 024.000,"* OVERGROWN GRASS, WEEDS",2025/02/04 00:00:00+00,3
509594.398193546,673087.569576807,108,1,108,C00172861,23,NUISANCE,3143 SOUTH COURT ST,10 04 19 3 006 009.000,"* BLDG. MATERIAL, DEBRIS, JUNK VEHICLES, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS, WOOD* 1 WHITE AND RED BOX TRUCKALSO NO PARKING IN FRONT YARD UNLESS GRAVEL IS PUT DOWN WITH A BORDER",2025/01/21 00:00:00+00,7
515484.845074054,684201.941376887,109,1,109,C00172819,20,NUISANCE,1416 MADISON AVE,10 03 08 3 019 003.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TIRES, WEEDS",2025/01/21 00:00:00+00,3
514933.786792971,694688.791466132,110,1,110,C00172792,2,NUISANCE,3513 MANLEY DR,04 09 32 3 005 002.008,"* DEBRIS, JUNK VEHICLES, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* REMOVE THE LARGE ACCUMULATION OF DEBRIS FROM THE REAR PROPERTY",2025/01/21 00:00:00+00,3
489098.662610296,672739.546322726,111,1,111,C00172929,20,NUISANCE,3325 PATRICK RD,11 05 21 3 003 001.000,"* AUTO PARTS, DEBRIS, LITTER, JUNK, TRASH* PARCEL NEEDS TO BE CLEANED AND ORGANIZED WITH VEHICLES.  ALL AUTO PARTS AND ENGINES LAYING AROUND MUST BE REMOVED",2025/02/04 00:00:00+00,4
518768.854582131,686845.612926804,112,1,112,C00172821,19,NUISANCE,2036 UPPER WETUMPKA RD,10 03 08 1 019 001.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/01/21 00:00:00+00,3
518339.415808465,687201.875337645,113,1,113,C00172727,18,NUISANCE,1933 MARIE JAMES CT,10 03 08 1 004 001.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* REMOVE ALL SCATTERED BUILDING DEBRIS FROM REAR PROPERTY",2025/01/21 00:00:00+00,3
511272.307567384,671214.238677807,114,1,114,C00173055,18,NUISANCE,342 EAST EDGEMONT AVE,10 09 30 2 002 004.000,"* BLDG. MATERIAL, DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS",2025/02/04 00:00:00+00,7
512083.326286551,670054.250184141,115,1,115,C00173053,17,NUISANCE,427 EAST OGDEN AVE,10 09 30 2 001 017.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS",2025/02/04 00:00:00+00,7
517480.796134636,680799.079744309,116,1,116,C00172679,15,NUISANCE,1908 PLUM ST,10 04 17 1 022 004.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/01/07 00:00:00+00,3
526519.538227718,682646.919224471,117,1,117,C00172762,16,NUISANCE,3530 MILAN DR,10 02 10 3 016 013.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/01/21 00:00:00+00,1
519908.835241798,690177.76275856,118,1,118,C00172820,17,NUISANCE,2545 FAIRGROUND RD,10 03 05 1 012 001.000,"* BLDG. MATERIAL, DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS* REMOVE ALL SCATTERED BUILDING DEBRIS BRICKS AND METAL FRAMING FROM PROPERTY",2025/01/21 00:00:00+00,3
540284.825001556,676647.952875979,119,1,119,C00172956,15,NUISANCE,1312 PAMPAS DR,10 06 24 1 002 010.000,"* TREE LIMBS, TREE STUMPS* THERE IS A PILE OF LIMBS AT THE BACK FENCE OF 1312 PAMPAS. IT HAS BEEN THERE FOR A MONTH NOW.PLEASE REMOVE ASAP..",2025/02/04 00:00:00+00,9
515971.744690798,685052.527274139,120,1,120,C00172522,14,NUISANCE,1532 WINONA AVE,10 03 08 2 022 003.000,* POOLING/PONDING OF FOUL WATER,2025/01/07 00:00:00+00,3
525395.157930553,686658.34755332,121,1,121,C00172818,14,NUISANCE,104 COLISEUM BLVD,10 02 10 2 003 006.002,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/01/21 00:00:00+00,2
519237.56164996,679352.71091789,122,1,122,C00172931,13,NUISANCE,1209 RYAN ST,10 04 17 1 053 010.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/02/04 00:00:00+00,3
529290.095022555,687317.027010225,123,1,123,C00172730,13,NUISANCE,4017 WARE HILL DR,10 02 10 1 001 051.000,"* FURNITURE, LITTER, JUNK, TRASH* REMOVE ALL ITEMS OFF FRONT PORCH",2025/01/21 00:00:00+00,2
512516.809999626,689017.833319888,124,1,124,C00172587,12,NUISANCE,1438 WITHERS ST,10 03 06 4 023 003.000,"* DEBRIS, JUNK VEHICLES, LITTER, JUNK, TRASH, WEEDS* REMOVE WRECK/DISMANTLED VEHICLE FROM PROPERTY",2025/01/07 00:00:00+00,3
513586.354448464,689879.140652403,125,1,125,C00172913,12,NUISANCE,1750 N DECATUR ST,10 03 06 1 003 005.000,"* DEBRIS, JUNK VEHICLES, LITTER, JUNK, TRASH* REMOVE ALL SCATTERED DEBRIS FROM PROPERTY AND INOPERABLE SEDAN",2025/02/04 00:00:00+00,3
517745.508203633,691358.501538806,126,1,126,C00172930,11,NUISANCE,1904 JOHNSON ST (HIGHLAND GARDENS),10 03 05 1 004 014.000,"* DEBRIS, LITTER, JUNK, TRASH* REMOVE ALL SCATTERED DEBRIS ALL OVER PROPERTY INCLUDING FRONT AND REAR PORCH",2025/02/04 00:00:00+00,3
520484.249773383,686060.607607059,127,1,127,C00172829,11,NUISANCE,405 FEDERAL DR,10 02 09 2 009 017.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/01/21 00:00:00+00,3
526530.315109044,657790.13954182,128,1,128,C00173413,195,NUISANCE,3845 CHATWOOD ST,15 02 03 3 002 006.000,"* AUTO PARTS, BLDG. MATERIAL, DEBRIS, JUNK VEHICLES, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* REMOVE ALL SCATTERED DEBRIS FROM FRONT AND REAR PROPERTY INCLUDING ALL WRECKED/INOPERABLE VEHICLES",2025/02/18 00:00:00+00,6
529433.906086631,660379.213759981,129,1,129,C00173421,194,NUISANCE,3109 GENTILLY CT,15 02 03 1 003 029.000,"* DEBRIS, WEEDS",2025/02/18 00:00:00+00,6
532411.02742897,652615.369707637,130,1,130,C00173223,193,NUISANCE,5060 WOODLEY RD,15 01 11 2 002 001.002,"* DEBRIS, JUNK VEHICLES, OVERGROWN GRASS* REMOVE DOWN TREE LIMB ON FRONT AND ALL INOPERABLE VEHICLES ON PROPERTY",2025/02/18 00:00:00+00,6
531090.705922626,655209.755266897,131,1,131,C00173398,192,NUISANCE,4008 AMBERLY RD,15 01 02 3 004 015.000,"* DEBRIS, JUNK VEHICLES, LITTER, JUNK, TRASH* REMOVE ALL WRECKED INOPERABLE VEHICLES, SCATTERED DEBRIS OLD PARTS",2025/02/18 00:00:00+00,6
520112.297433298,683698.095599815,132,1,132,C00172781,12,NUISANCE,149 SOUTH PANAMA ST,10 02 09 3 008 002.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* ALL AROUND DUMPSTER ALL TYPES LITTER AND JUNK. CLEAN UP  ASAP",2025/01/21 00:00:00+00,3
517648.988383554,696112.60882847,133,1,133,C00172750,1,NUISANCE,127 BROADWAY ST,04 09 32 1 011 006.000,"* DEBRIS, FURNITURE, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* REMOVE ALL SCATTERED DEBRIS FROM CURB/PROPERTY",2025/01/21 00:00:00+00,3
520740.450376462,687460.988664553,134,1,134,C00172828,10,NUISANCE,808 FEDERAL DR,10 02 04 3 016 014.000,"* DEBRIS, LITTER, JUNK, TRASH",2025/01/21 00:00:00+00,2
486243.922256794,659203.689536221,135,1,135,C00173357,191,NUISANCE,4412 GATEWAY DR,14 03 05 1 011 003.000,"* DEBRIS, JUNK VEHICLES, LITTER, JUNK, TRASH* REMOVE ALL INOPERABLE VEHICLES, SCATTERED DEBRIS ALONG WITH AUTO PARTS",2025/02/18 00:00:00+00,4
498240.082647633,655852.757917896,136,1,136,C00173544,189,NUISANCE,5225 WEST SHADES VALLEY DR,14 02 03 4 011 006.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/02/18 00:00:00+00,4
497919.652186129,654047.703457147,137,1,137,C00173539,190,NUISANCE,5433 CATHY DR,14 02 10 1 010 016.000,"* JUNK VEHICLES, TIRES, TREE LIMBS, TREE VIOLATION* BURGUNDY 4-DOOR SEDAN NEEDS TO BE REMOVED IF NOT MEETING CRITERIA TO STAY; FALLEN TREE AND TREE LIMBS NEED TO BE REMOVED, AS WELL AS ANY TIRES ON THE PROPERTY",2025/02/18 00:00:00+00,4
497975.346956633,656556.79030247,138,1,138,C00173697,188,NUISANCE,5224 GREENSBORO DR,14 02 03 4 008 034.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/02/18 00:00:00+00,4
498268.711527381,656828.728406906,139,1,139,C00173698,187,NUISANCE,5256 GREENSBORO DR,14 02 03 4 008 027.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/02/18 00:00:00+00,4
498865.047933131,657017.636821724,140,1,140,C00173701,186,NUISANCE,5117 EAST LINDA CIR,14 02 03 4 008 003.000,"* BLDG. MATERIAL, FURNITURE, LITTER, JUNK, TRASH, WOOD* ITEMS DRAGGED OUT FROM BURNED HOUSE INTO BACK YARD AND PATIO MUST BE CLEANED UP AND REMOVED; ALL LITTER AROUND THE HOUSE - INCLUDING FRONT AND SIDES OF HOUSE - MUST BE CLEANED UP",2025/02/18 00:00:00+00,4
498692.819274969,656839.355682231,141,1,141,C00173700,185,NUISANCE,5134 EAST LINDA CIR,14 02 03 4 007 007.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/02/18 00:00:00+00,4
497400.79758079,657126.264557235,142,1,142,C00173702,184,NUISANCE,236 SOUTHLAWN DR,14 02 03 4 004 012.000,"* BLDG. MATERIAL, DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TIRES, TREE LIMBS, WEEDS, WOOD",2025/02/18 00:00:00+00,4
499049.774925884,658411.298732556,143,1,143,C00173704,183,NUISANCE,536 UPTON RD,14 02 03 1 011 015.000,"* DEBRIS, FURNITURE, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS, WOOD",2025/02/18 00:00:00+00,4
498817.0112838,658732.258064397,144,1,144,C00173705,182,NUISANCE,331 CHIPPING TER,14 02 03 1 010 024.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/02/18 00:00:00+00,4
499639.844283793,654199.413783647,145,1,145,C00173540,181,NUISANCE,5553 EAST SHADES VALLEY DR,14 01 11 2 004 004.000,"* AUTO PARTS, CARPET, LITTER, JUNK, TRASH",2025/02/18 00:00:00+00,4
500835.259871967,657698.894645549,146,1,146,C00173463,178,NUISANCE,SOUTHLAWN DR,14 01 02 3 010 001.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/02/18 00:00:00+00,4
500789.953860208,657288.051307149,147,1,147,C00173465,180,NUISANCE,5153 LEVENSON RD,14 01 02 3 012 012.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/02/18 00:00:00+00,4
501498.632889051,657233.133437976,148,1,148,C00173474,179,NUISANCE,5101 LEVENSON RD,14 01 02 3 012 001.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, TREE VIOLATION, WEEDS",2025/02/18 00:00:00+00,4
500194.097112294,657168.834025905,149,1,149,C00173458,177,NUISANCE,624 GREEN LEAF DR,14 01 02 3 005 030.000,"* FURNITURE, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* SOFA ON CURB NEEDS TO BE REMOVED; ENTIRE YARD NEEDS TO BE CUT AND CLEANED UP - INCLUDING BACK YARD AND GRASS BY FRONT CURB ALSO.",2025/02/18 00:00:00+00,4
492167.816905044,670278.131626144,150,1,150,C00173369,176,NUISANCE,3431 DUFF ST,11 08 28 1 004 022.000,"* JUNK VEHICLES, LITTER, JUNK, TRASH, OVERGROWN GRASS* 2 WHITE PU TRUCKS1 BLUE MUSTANG1 WHITE 4 DOOR CAR1 BLACK 4 DOOR CAR1 TAN FORD SUVIT IS THE ASSUMPTION THAT THESE VEHICLES DO NOT RUN AND ARE BEING DEEMED JUNK VEHICLES.  ALL VEHICLES ON LOT MUST OPERA",2025/02/18 00:00:00+00,4
498984.979123715,669053.62849772,151,1,151,C00173761,175,NUISANCE,3590 YOUNG DR,11 08 27 1 003 002.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/02/18 00:00:00+00,4
499063.426801465,669765.876088984,152,1,152,C00173764,174,NUISANCE,3550 YOUNG DR,11 08 27 1 003 001.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/18 00:00:00+00,4
498724.895982467,669082.585788891,153,1,153,C00173762,173,NUISANCE,3590 YOUNG DR,11 08 27 1 001 003.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/18 00:00:00+00,4
509022.252356216,666510.705105893,154,1,154,C00173349,170,NUISANCE,44 SOUTHMONT DR,11 07 25 4 012 042.000,"* BLDG. MATERIAL, DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS, WOOD* ENTIRE PARCEL NEEDS TO BE CUT AND CLEANED  AND ALSO SHED AND LARGE TRASH PILE IN BACK NEED TO BE REMOVED",2025/02/18 00:00:00+00,4
499221.608571716,669490.789696902,155,1,155,C00173763,171,NUISANCE,FORTE LN,11 07 26 2 003 009.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/18 00:00:00+00,4
499213.870726302,668943.135608472,156,1,156,C00173760,172,NUISANCE,INT US 31,11 07 26 2 004 001.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/18 00:00:00+00,4
506028.582490548,668271.30525922,157,1,157,C00173652,167,NUISANCE,745 BELVEDERE DR,11 07 25 3 003 045.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/18 00:00:00+00,4
506026.139253963,668391.281069145,158,1,158,C00173651,168,NUISANCE,757 BELVEDERE DR,11 07 25 3 003 047.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE STUMPS, WEEDS",2025/02/18 00:00:00+00,4
509106.788276374,666516.447220385,159,1,159,C00173348,169,NUISANCE,40 SOUTHMONT DR,11 07 25 4 012 041.000,"* BLDG. MATERIAL, DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TIRES, TREE LIMBS, WEEDS* THE ENTIRE PARCEL NEEDS TO BE CUT AND CLEANED AND RID OF ALL JUNK AND DEBRIS",2025/02/18 00:00:00+00,4
506330.881426632,667813.822250322,160,1,160,C00173709,166,NUISANCE,712 WEST APRIL ST,11 07 25 3 003 034.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/18 00:00:00+00,4
506090.87140796,667811.877700388,161,1,161,C00173711,165,NUISANCE,744 WEST APRIL ST,11 07 25 3 003 030.000,"* BLDG. MATERIAL, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/18 00:00:00+00,4
506030.869231377,667811.391480885,162,1,162,C00173712,164,NUISANCE,752 WEST APRIL ST,11 07 25 3 003 029.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/18 00:00:00+00,4
505788.455674212,667824.060090736,163,1,163,C00173713,163,NUISANCE,3889 APRIL ST,11 07 25 3 003 025.000,"* BLDG. MATERIAL, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/18 00:00:00+00,4
505365.871217553,669617.073893137,164,1,164,C00173645,161,NUISANCE,3628 APRIL ST,11 07 25 2 013 040.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/18 00:00:00+00,4
505437.048240546,669971.631254897,165,1,165,C00173642,158,NUISANCE,900 RIDGECREST ST,11 07 25 2 006 028.000,"* JUNK VEHICLES, LITTER, JUNK, TRASH* 1 SILVER CAR IN REAR",2025/02/18 00:00:00+00,4
506308.987769634,669065.830244988,166,1,166,C00173571,162,NUISANCE,3716 GASTON AVE,11 07 25 2 017 021.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/18 00:00:00+00,4
505625.858230382,669619.490554981,167,1,167,C00173646,159,NUISANCE,3627 APRIL ST,11 07 25 2 012 006.000,"* BLDG. MATERIAL, JUNK VEHICLES, LITTER, JUNK, TRASH, TREE LIMBS, WEEDS* 1 RED MUSTANG",2025/02/18 00:00:00+00,4
507189.411533713,672293.629891731,168,1,168,C00173708,156,NUISANCE,130 HOBBIE DR,11 06 24 4 007 014.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/18 00:00:00+00,4
507765.410053629,672263.064336054,169,1,169,C00173707,157,NUISANCE,112 HOBBIE DR,11 06 24 4 007 023.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/18 00:00:00+00,4
507159.153720222,672565.984333895,170,1,170,C00173464,154,NUISANCE,119 STUART ST,11 06 24 4 007 010.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/02/18 00:00:00+00,4
507115.413650207,672293.041310221,171,1,171,C00173466,155,NUISANCE,132 HOBBIE DR,11 06 24 4 007 013.001,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/02/18 00:00:00+00,4
505294.107581552,671955.90747007,172,1,172,C00173543,151,NUISANCE,3221 DORIS CIR,11 06 24 3 016 007.000,"* JUNK VEHICLES, LITTER, JUNK, TRASH* 1 BLUEISH/GREEN 4 DOOR CAR",2025/02/18 00:00:00+00,4
505422.764804546,671777.255268306,173,1,173,C00173547,153,NUISANCE,3252 AGATE ST,11 06 24 3 016 015.000,"* LITTER, JUNK, TRASH, TREE LIMBS, TREE VIOLATION",2025/02/18 00:00:00+00,4
506089.330728635,673184.408293903,174,1,174,C00173433,149,NUISANCE,721 CAPRI ST,11 06 24 3 011 004.000,"* JUNK VEHICLES, LITTER, JUNK, TRASH* 1 WHITE CHEVY TAHOE",2025/02/18 00:00:00+00,4
506330.405049633,671932.648002148,175,1,175,C00173439,150,NUISANCE,703 UPCHURCH CIR,11 06 24 3 015 001.000,"* BLDG. MATERIAL, DEBRIS, JUNK VEHICLES, LITTER, JUNK, TRASH, OVERGROWN GRASS, TIRES, WEEDS* 1 BLUE PICKUP TRUCK",2025/02/18 00:00:00+00,4
505175.394564379,675624.788911812,176,1,176,C00173526,148,NUISANCE,1523 OAKLAND ST,11 06 24 2 028 016.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/18 00:00:00+00,4
506692.403997552,675945.58124923,177,1,177,C00173658,146,NUISANCE,618 WOODROW ST,11 06 24 2 018 015.000,"* BLDG. MATERIAL, JUNK VEHICLES, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS* 1 RED VEHICLE",2025/02/18 00:00:00+00,7
506603.571498051,674846.533578567,178,1,178,C00173344,145,NUISANCE,637 ERSKINE ST,11 06 24 2 014 004.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/18 00:00:00+00,7
506321.621602636,674726.594185904,179,1,179,C00173322,147,NUISANCE,700 ALEXANDER ST,11 06 24 2 024 026.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/18 00:00:00+00,7
506664.849918798,674858.796349317,180,1,180,C00173343,144,NUISANCE,625 ERSKINE ST,11 06 24 2 014 003.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/18 00:00:00+00,7
506575.920962803,674492.313814566,181,1,181,C00173351,143,NUISANCE,650 MALVERN ST,11 06 24 2 013 009.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/18 00:00:00+00,7
506443.867421132,674255.157136656,182,1,182,C00173323,142,NUISANCE,MALVERN ST,11 06 24 2 012 002.000,,2025/02/18 00:00:00+00,7
504681.925735049,675978.359398894,183,1,183,C00173531,140,NUISANCE,1461 SIERRA ST,11 06 24 2 005 013.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/18 00:00:00+00,4
506775.427125465,674229.583040811,184,1,184,C00173347,141,NUISANCE,1936 ROSA L PARKS AV,11 06 24 2 012 001.002,"* DEBRIS, LITTER, JUNK, TRASH",2025/02/18 00:00:00+00,7
505032.055284135,675542.905217312,185,1,185,C00173528,139,NUISANCE,1534 OAKLAND ST,11 06 24 2 004 038.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/18 00:00:00+00,4
500031.800848965,674287.661664806,186,1,186,C00173523,137,NUISANCE,SANDY ST,11 06 23 2 002 021.000,"* BLDG. MATERIAL, DEBRIS, LITTER, JUNK, TRASH, TREE LIMBS",2025/02/18 00:00:00+00,4
507303.475281972,674902.102693141,187,1,187,C00173459,138,NUISANCE,510 ELM ST,11 06 24 1 018 017.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/02/18 00:00:00+00,7
503808.103663798,675263.068506651,188,1,188,C00173591,135,NUISANCE,1617 WESTCOTT ST,11 06 23 1 019 011.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/18 00:00:00+00,4
503807.922233716,675304.736074224,189,1,189,C00173589,134,NUISANCE,1609 WESTCOTT ST,11 06 23 1 019 010.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/18 00:00:00+00,4
503907.728792626,675347.972864397,190,1,190,C00173613,133,NUISANCE,,11 06 23 1 019 007.000,"* DEBRIS, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/18 00:00:00+00,4
500231.117707543,674469.500211902,191,1,191,C00173521,136,NUISANCE,2456 SANDY ST,11 06 23 2 002 013.000,"* DEBRIS, LITTER, JUNK, TRASH",2025/02/18 00:00:00+00,4
503123.850767214,675523.167067811,192,1,192,C00173654,131,NUISANCE,2156 COUNCIL ST,11 06 23 1 015 013.000,"* DEBRIS, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/18 00:00:00+00,4
503607.761544794,675343.261259638,193,1,193,C00173592,132,NUISANCE,1604 WESTCOTT ST,11 06 23 1 018 027.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/18 00:00:00+00,4
503411.164168969,675677.688412309,194,1,194,C00173641,130,NUISANCE,2127 STELLA ST,11 06 23 1 015 004.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/18 00:00:00+00,4
