X,Y,OBJECTID_1,OBJECTID,NAME,FIPS,ENRLMT,SCH_ENRL,enr,Address,City,TELEPHONE,ZIP,TAZ_2035LR,TAZ_2030LR,EMPLOY,Enroll,Level_,BUFF_DIST,LASTUPDATE,created_user,created_date,last_edited_user,last_edited_date,SchoolType,New
459711.12656983,728453.930955656,86,9437534,Prattville High School,01001,1704,0,2105,1315 Upper Kingston Road,Prattville,(334) 365-8804,36067,305,305,100,0,High School,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
493270.629660662,725644.317152321,87,9437597,Stanhope Elmore High School,01051,914,0,1097,4300 Main St,Millbrook,(334) 285-4263,36054,314,311,0,0,High School,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
498743.803097494,673380.963345908,88,9437621,Trenholm State Technical College,01101,550,0,602,1225 Air Base Blvd,Montgomery,(334) 420-4200,36108,166,166,120,0,Graduate,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC College
536467.144645412,745921.474760659,89,9437652,Wetumpka High School,01051,947,0,1084,1251 Coosa River Parkway,Wetumpka,(334) 567-5158,36092,337,337,0,0,High School,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
536994.298446745,663606.077711992,90,0,Brewbaker Technology Magnet High School, ,568,0,568,4405 Brewbaker Drive,Montgomery,(334) 284-7100,36116,197,197,53,578,High School,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
483913.128362577,757489.362057909,91,0,JF Ingram State Technical College, ,138,0,651,5375 Ingram Rd,Deatsville,(334) 285-5177,36022,359,359,100,0,Graduate,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE College
537827.095993746,670493.640052326,92,0,South University, ,210,0,363,5355 Vaughn Rd,Montgomery,(334) 395-8800,36117,199,199,70,0,Graduate,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE College
550969.645824078,677741.472997576,93,0,Amridge University, ,144,0,22,1200 Taylor Rd,Montgomery,(334) 387-7991,36117,260,260,50,0,Graduate,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE College
508779.76268433,682816.24303174,94,0,Troy State University Montgomery, ,3455,0,4257,231 Montgomery St,Montgomery,(334) 241-9495,36117,1,1,100,0,Graduate,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC College
508276.262050912,682772.104668573,95,0,Troy State University School of Nursing, ,336,0,440,340 Montgomery St,Montgomery,(334) 834-2320,36104,2,2,50,0,Graduate,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC College
530300.072005831,663916.034441158,96,0,Trenholm State Technical College (Patterson Campus), ,0,0,796,3920 Troy Highway,Montgomery,(334) 420-4200,36116,175,175,0,0,Graduate,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC College
532763.169769913,668205.087870903,97,0,Success Unlimited Academy - Upper Campus, ,0,0, ,2328 Fairlane Drive,Montgomery,(334) 213-0803,36116, , ,0,0,High School,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
551118.832861662,659912.709114492,98,0,Park Crossing High School, ,958,0,958,8000 Park Crossing,Montgomery,(334) 260-8121,36117, , ,73,1321,High School,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
563093.489030413,659355.621645987,99,0,Johnnie R. Carr Middle School, ,883,0,883,1610 Ray Thorington Road,Montgomery,(334) 244-4005,36117,0,0,65,792,Junior High,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
517452.318173829,685765.825059071,100,0,Children's Center, ,91,0,91,310 N Madison Ter,Montgomery,(334) 262-4850,36107, , ,52,94,Elementary to High School,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
557725.136250079,668533.447122321,101,0,Montgomery Catholic Prep School (Holy Spirit Campus), ,0,0, ,8580 Vaughn Rd,Montgomery,(334) 649-4404,36117, , ,0,0,Elementary,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
526007.122914579,653033.745182157,102,0,MacMillan International Academy Pre-K, ,364,0,364,4015 Mcinnis Rd,Montgomery,(334) 284-7137,36116, , ,29,375,Elementary,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
528348.543756664,665845.999741323,103,0,Montgomery Prep Academy for Career Technologies (MPACT), ,212,0,212,2901 E. South Boulevard,Montgomery,(334) 613-9177,36116, , ,27,0,High School,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
489689.893055744,610004.898169152,104,0,Pintlala Elementary, ,176,0,176,215 Federal Rd.,Hope Hull,(334) 288-9523,36043, , ,27,160,Elementary,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
535185.479229745,562735.062590905,105,0,Dunbar-Ramer School, ,162,0,162,56 Naftel Ramer Rd,Ramer,(334) 562-3250,36069, , ,24,172,Elementary to Junior High,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
543860.770606164,684568.828437321,106,0,Frazer Memorial Christian Kindergarten, ,0,0, ,6000 Atlanta Hwy,Montgomery,(334) 279-0271,36117, , ,0,0,6 Months to 5 year old K,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
526840.269214161,668532.833606489,107,0,Montgomery Christian School, ,0,0, ,3265 McGehee Rd,Montgomery,(334) 386-1749,36111, , ,0,0,Elementary,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
537865.215340078,685289.851273492,108,0,Jones School of Law At Faulkner U., ,0,0, ,5345 ATLANTA HWY,Montgomery,(334) 386-7210,36109, , ,0,0,Graduate,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE College
526925.811693996,685529.343904741,109,0,Fortis College, ,0,0, ,3736 ATLANTA HWY,Montgomery,(334) 272-3857,36109, , ,0,0,PRIVATE College,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
510506.002342079,681703.535939574,110,9437207,Baldwin Arts/Academic Middle Magnet School,01101,555,0,555,410 S. McDonough St.,Montgomery,(334)269-3870,36104,10,10,46,554,Junior High,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
526200.340375911,652750.161431737,111,0,MacMillan International Baccalaureate Academy, ,0,0, ,4015 McInnis Rd,Montgomery,(334) 284-7137,36116,173,173,88,773,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
526137.840500914,652802.244660906,112,0,"MacMillan International Academy for Hum, Comm, Tech", ,364,0,364,4015 Mcinnis Rd,Montgomery,(334) 284-7137,36116, , ,29,375,Elementary,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
514808.522936497,683198.06543082,113,0,Floyd Middle Magnet School, ,0,0, ,215 HALL ST,Montgomery,(334) 284-7130,36104, , ,0,0,Junior High,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
543153.039410081,662953.076393321,114,,Booker T. Washington Magnet High School,,366,366,366,4400 Bell Rd,Montgomery,,36116,,,,366,High School,,ANB - New Location Open,ABOWEN,2023/10/06 18:42:35+00,ABOWEN,2023/10/06 19:49:25+00,PUBLIC,PUBLIC School
